First ------>,A (UBL),B (UBR),D (UFL),E (LUB),F (LUF),G (LDF),H (LDB),I (FUL),K (FDR),L (FDL),N (RUB),O (RDB),P (RDF),Q (BUR),R (BUL),S (BDL),T (BDR),U (DFL),V (DFR),W (DBR),Y (DBL)
N (RUB),"[U R U' D': [U2, R' D' R]]",,"[U' R': [U2, R' D' R]]","[L2 B: [U2 , R' D R]]","[F' U' : [U2 , R' D R]]","[U R U':[U2, R' D R]]","[U R : [R D' R' , U2]]","[B2 L' : [R' D R , U2]]","[U L' : [R' D' R , U2]]","[U D' R: [R D' R', U2]]",,"[U R U: [R' D' R, U2]]","[U' R' D' : [R' D' R,U2]]",,"[U R: [R D R', U2]]","[F' : [R D' R',U2]]","[U D R: [R D' R', U2]]","[U' R': [U2, R' D R]]","[D' U' R' : [U2,R' D R]]","[D2 U' R' : [U2 , R' D R]]","[D U' R' : [U2, R' D R]]"
O (RDB),"[U': [R D R', U2]]","[U', R D R']","[U': [R D R', U']]","[R D: [R D R', U]]","[R' U' : [R' D' R, U2]]","[U': [D2, R' U' R]]","[R U2 : [D2 , R U' R']]","[R U D': [R' D R, U2]]","[U : [R U' R' , D']]","[R D: [D, R' U' R]]","[U D' L' : [U2 , R' D' R]]",,"[R D': [U, R' D R]]","[D2 R' U: [D, R U' R']]","[R' U: [U, R' D' R]]","[U D': [D', R U' R']]",,"[U' R': [U, R' D R]]","[B D' L : [U , R' D2 R]]",,"[U' R' D: [U, R' D R]]"
P (RDF),"[R' D' R, U2]","[R' D' R, U]","[R' D' R, U']","[D' R U: [R' D R, U]]","[R' U' : [D' , R U R']]","[L : [D2 , R U R']]","[D2, R U R']","[Lw': [R' D' R, U2]]",,"[D, R U R']","[U' R' D' : [U2,R' D' R]]","[R D': [R' D R, U]]",,"[R' U: [D', R U' R']]","[x': [D', R U' R']]","[x': [D', R U2 R']]","[D', R U R']","[R D: [U, R' D' R]]",,"[D' R U' R': [U2, R' D R]]","[R : [U', R D' R']]"
Q (BUR),"[R' D' : [U2 , R' D R]]",,"[R' D' : [U' , R' D R]]","[U R': [U', R' D' R]]","[z: [D', R U R']]","[R' U : [R U' R' , D]]","[U' L U, R]","[R D: [R D' R', U2]]","[D' R' U : [R U' R' , D]]","[U R' U': [D, R U R']]",,"[D2 R' U: [R U' R', D]]","[R' U: [R U' R', D']]",,"[z:[R' U' R , D]] ","[R' U : [R U' R' , D2]]","[R U : [R U R' , D']]","[D' R U': [D', R' U R]]","[U R' U': [D', R U R']]","[D R U': [R' U R, D']]","[R U' : [D' , R' U R]]"
R (BUL),,"[R':[R' D' R,U2]]","[U' R': [U', R' D' R]]",,"[R' U': [R' D' R, U']]","[R' D: [R' U R, D]]","[U2 R: [R D' R', U]]","[R U R' D': [U2, R' D R]]","[L D' : [U,R' D R]]","[D L : [U' , R' D' R]]","[U R: [U2, R D R']]","[R' U: [R' D' R, U]]","[x': [R U' R', D']]","[z:[D,R' U' R]] ",,"[D2 L D' : [U' , R' D R]]","[L : [L D2 L' , U]]","[U' R': [U', R' D R]]","[D F' : [L' D L , U]]","[U R: [U', R' D' R]]","[U' D R': [U' , R' D R]]"
S (BDL),"[D: [R' D R, U2]]","[D: [R' D R, U]]","[D: [R' D R, U']]","[U D R' : [U' , R' D R]]","[x': [R U2 R', D]]","[U D: [R U' R', D]]",,"[D' R U D': [R' D R, U2]]","[U : [R U' R' , D2]]","[D' R D: [D2, R' U' R]]","[F' : [U2,R D' R']]","[U D': [R U' R', D']]","[x': [R U2 R', D']]","[R' U: [D2, R U' R']]","[D2 L D' : [R' D R , U']]",,"[L U' D' : [L D' L' , U2]]","[Lw D : [U2 , R' D R]]","[U R2 U : [U2 , R' D2 R]]","[U R : [R U' R', D2]]",
T (BDR),"[D': [R' D' R, U2]]","[D' : [R' D' R , U]]","[D': [R' D' R, U']]","[R U: [R' D' R, U]]","[F: [R U R', D']]","[U R' U: [R' D R, U2]]","[D' : [R U R' , D']]","[R U: [R' D' R, U2]]","[R U R' U': [D', R U R']]","[D: [R U R', D2]]","[U D R: [U2, R D' R']]",,"[R U R', D']","[R U : [D' , R U R']]","[L : [U , L D2 L']]","[L U' D' : [U2 , L D' L']]",,"[R U: [D, R U R']]","[D' R D: [R' D' R, U]]",,"[R U' D: [D2, R' U R]]"
U (DFL),"[D2 R D' R' : [R D R', U2]]","[Lw D: [R' D R, U]]","[D2 R D' R' : [R' D R, U']]","[D' R: [R D' R', U]]","[U' R' U: [R U' R', D]]",,"[D R U' R': [R' D R, U2]]","[R U D: [R' D' R, U2]]","[L2 D' : [U2 , R' D R]]",,"[U' R': [R' D R, U2]]","[U' R': [R' D R, U]]","[R D: [R' D' R, U]]","[D' R U': [R' U R, D']]","[U' R' : [R' D R , U']]","[Lw D : [R' D R, U2]]","[D' R: [R D' R', U']]",,"[U' R' U R : [D , R U' R']]","[R U' R' : [R' U R , D2]]","[R U' D': [R' U R, D']]"
V (DFR),"[D R D' R' : [R' D R , U2]]","[D' L : [R' D2 R , U]]","[D' R D' R' : [R' D R, U']]","[D2 R: [R D' R', U]]","[R U' R': [R' D' R, U2]]","[U R2 U : [R' D R , U2]]","[U R2 : [R D' R' , U2]]","[D' R U' D: [U2, R' D' R]]",,"[R U' R': [R' D R, U2]]","[D' U' R' : [R' D R , U2]]","[B D' L : [R' D2 R , U]]",,"[U R' U': [R U R', D']]","[D F' : [U , L' D L]]","[U R2 U : [R' D2 R , U2]]","[D' R D: [U, R' D' R]]","[U' R' U R : [R U' R' , D]]",,"[U L' : [D' , R U2 R']]","[U L' U L : [L U' L' , D2]]"
W (DBR),"[R D' R' : [R' D R , U2]]","[U R D' R': [U', R' D R]]","[R D' R' : [R' D R , U']]","[D R : [R D' R' , U]]","[R U' R': [D, R' U R]]","[U R : [D, R U' R']]","[B' D2 : [R' D' R , U2]]","[D R: [R D' R', U2]]","[U R D': [U', R' D R]]","[D R: [R D' R', U']]","[D B : [U2,L' D L]]",,"[D' R U' R': [R' D R, U2]]","[D R U': [R' U R, D']]","[F' : [U , L' D L]]","[U R: [D2, R U' R']]",,"[R U' R' : [D2 , R' U R]]","[U L' : [R U2 R' , D']]",,"[R U' R' : [D' , R' U R]]"
X (DBL),"[D' R D' R' : [R' D R , U2]]","[x': [R' D' R, U2]]","[D R D' R' : [R' D' R , U']]","[R: [R D' R' , U]]","[R2 D' : [D' , R U' R']]","[U D' R: [D2, R U' R']]",,"[R:[R D' R',U2]]","[R2 U': [D', R' U R]]","[D R D: [U, R' D' R]]","[D U' R' : [R' D R , U2]]","[U' R' D: [R' D R, U]]","[R : [R D' R' , U']]","[R U': [R' U R, D']]","[U' D R': [R' D R, U']]",,"[R U' D: [R' U R, D2]]","[R : [L' U2 L , D]]","[U L' U L : [D2 , L U' L']]","[R U' R' : [R' U R , D']]",
